Heat Source Hourly Output File:  Solar Flux blocked by vegetation (daily average w/sq m)     File created on Mon Apr 15 14:01:09 2013

Datetime      rKM           Veg_1_NE      Veg_2_NE      Veg_3_NE      Veg_4_NE      Veg_1_E       Veg_2_E       Veg_3_E       Veg_4_E       Veg_1_SE      Veg_2_SE      Veg_3_SE      Veg_4_SE      Veg_1_S       Veg_2_S       Veg_3_S       Veg_4_S       Veg_1_SW      Veg_2_SW      Veg_3_SW      Veg_4_SW      Veg_1_W       Veg_2_W       Veg_3_W       Veg_4_W       Veg_1_NW      Veg_2_NW      Veg_3_NW      Veg_4_NW      diffuse_blocked
37079.958333  0.650         0.0430        0.0866        0.1745        0.3515        1.5295        3.6707        8.9158        21.9106       1.5114        5.9419        23.8865       23.0739       1.3265        6.7841        34.7179       0.0000        1.5007        5.9260        23.9299       23.1711       2.1407        5.0596        12.0779       29.1248       0.0451        0.0908        0.1830        0.3687        65.0687       
37079.958333  0.400         0.0430        0.0866        0.1744        0.3513        1.5291        3.6697        8.9136        21.9052       0.8269        2.9480        10.7465       40.0860       0.2595        1.3263        6.7828        34.7117       0.8197        2.9340        10.7392       40.2264       2.1402        5.0583        12.0748       29.1175       0.0454        0.0914        0.1842        0.3711        65.8098       
37079.958333  0.150         0.0004        0.0007        0.0014        0.0029        0.0352        0.0860        0.2123        0.5295        0.0230        0.0823        0.3007        1.1245        0.0074        0.0381        0.1947        0.9963        0.0228        0.0819        0.3007        1.1289        0.0495        0.1185        0.2864        0.6989        0.0004        0.0008        0.0015        0.0031        33.8021       
37079.958333  0.000         0.0004        0.0007        0.0014        0.0029        0.0352        0.0860        0.2124        0.5296        0.0230        0.0823        0.3008        1.1248        0.0074        0.0381        0.1947        0.9966        0.0228        0.0820        0.3007        1.1292        0.0495        0.1186        0.2865        0.6991        0.0004        0.0008        0.0015        0.0031        33.7341       
37080.958333  0.650         0.0414        0.0833        0.1678        0.3380        1.5294        3.6677        8.9003        21.8488       1.5253        5.9696        23.8803       23.0444       1.3427        6.8223        34.6871       0.0000        1.5654        6.1044        24.3842       24.4545       2.0992        4.9285        11.6767       27.9206       0.0346        0.0696        0.1402        0.2822        64.6071       
37080.958333  0.400         0.0418        0.0842        0.1695        0.3415        1.5290        3.6668        8.8981        21.8434       0.8352        2.9675        10.7772       40.0365       0.2644        1.3425        6.8211        34.6809       0.8799        3.1046        11.2146       41.5030       2.0987        4.9273        11.6737       27.9136       0.0349        0.0702        0.1413        0.2845        65.4018       
37080.958333  0.150         0.0003        0.0007        0.0014        0.0027        0.0353        0.0862        0.2124        0.5291        0.0233        0.0830        0.3022        1.1254        0.0076        0.0386        0.1962        0.9975        0.0245        0.0868        0.3142        1.1659        0.0484        0.1150        0.2756        0.6668        0.0003        0.0005        0.0011        0.0022        33.7409       
37080.958333  0.000         0.0003        0.0007        0.0014        0.0028        0.0353        0.0862        0.2125        0.5293        0.0233        0.0830        0.3023        1.1257        0.0076        0.0386        0.1962        0.9978        0.0245        0.0868        0.3143        1.1662        0.0484        0.1150        0.2757        0.6670        0.0003        0.0005        0.0011        0.0022        33.6786       
