	MV1_02_Oberseite TIS	MV2_01_Oberseite TIS	MV2_02_Oberseite TIS	MV3_01_Oberseite TIS	MV3_03_Oberseite TIS	MV4_01_Oberseite TIS	MV4_03_Oberseite TIS
815	40.5	60.2	55.5	47.5	29.0	62.1	42.7
820	40.5	60.3	55.5	47.5	29.2	62.1	42.6
825	40.6	60.3	55.5	47.5	29.3	62.1	42.6
830	40.7	60.4	55.4	47.6	29.4	62.1	42.5
835	40.8	60.3	55.4	47.6	29.5	62.1	42.5
840	40.8	60.2	55.3	47.6	29.4	62.1	42.4
845	40.9	60.2	55.3	47.6	29.4	62.1	42.4
850	41.0	60.1	55.2	47.6	29.4	62.1	42.3
855	41.1	60.1	55.2	47.6	29.4	62.1	42.3
860	41.1	60.0	55.1	47.6	29.4	62.0	42.2
865	41.2	59.9	55.0	47.6	29.3	62.0	42.2
870	41.3	59.9	55.0	47.7	29.3	62.0	42.1
875	41.4	59.8	54.9	47.8	29.2	62.1	42.0
880	41.5	59.7	54.8	47.9	29.2	62.2	42.0
885	41.6	59.6	54.8	48.0	29.2	62.3	41.9
890	41.7	59.5	54.7	48.1	29.1	62.5	41.8
895	41.7	59.4	54.6	48.2	29.0	62.6	41.8
900	41.7	59.3	54.5	48.2	29.0	62.6	41.7
905	41.7	59.2	54.4	48.2	28.9	62.6	41.6
910	41.7	59.1	54.3	48.2	28.9	62.6	41.5
915	41.6	59.0	54.2	48.2	28.8	62.5	41.4
920	41.6	58.9	54.1	48.1	28.7	62.4	41.4
925	41.5	58.8	54.0	48.0	28.6	62.4	41.3
930	41.5	58.7	53.9	48.0	28.6	62.3	41.2
935	41.4	58.6	53.8	47.9	28.5	62.3	41.2
940	41.3	58.6	53.7	47.9	28.4	62.2	41.1
945	41.3	58.5	53.6	47.8	28.4	62.2	41.1
950	41.3	58.4	53.6	47.8	28.3	62.1	41.0
955	41.2	58.3	53.5	47.8	28.3	62.1	41.0
960	41.2	58.3	53.4	47.7	28.2	62.1	40.9
965	41.1	58.2	53.3	47.7	28.2	62.0	40.9
970	41.1	58.1	53.3	47.7	28.1	62.0	40.8
975	41.1	58.1	53.2	47.7	28.1	62.0	40.8
980	41.0	58.0	53.1	47.7	28.1	62.0	40.8
985	41.0	58.0	53.1	47.7	28.1	62.0	40.7
990	41.0	57.9	53.0	47.7	28.0	61.9	40.7
995	41.0	57.9	53.0	47.7	28.0	61.9	40.6
1000	40.9	57.8	52.9	47.7	28.0	61.9	40.6
1005	40.9	57.8	52.9	47.7	28.0	61.9	40.6
1010	40.9	57.7	52.8	47.7	28.0	61.9	40.5
1015	40.9	57.7	52.8	47.7	28.0	61.9	40.5
1020	40.9	57.6	52.7	47.8	28.0	61.9	40.5
1025	40.9	57.6	52.7	47.8	28.0	61.9	40.5
1030	40.9	57.6	52.7	47.8	28.1	61.9	40.5
1035	40.9	57.6	52.7	47.8	28.1	61.9	40.4
1040	40.9	57.5	52.6	47.9	28.1	61.9	40.4
1045	40.9	57.5	52.6	47.9	28.2	61.9	40.4
1050	40.9	57.5	52.6	47.9	28.2	61.9	40.4
1055	40.9	57.4	52.5	48.0	28.2	61.8	40.4
