Wavelength [nm]	MV4_03 [%]	MV4_02 [%]	MV4_01 [%]	MV3_03 [%]	MV3_02 [%]	MV3_01 [%]	MV2_02 [%]	MV2_01 [%]	MV1_02 [%]	MV1_01 [%]
1770	45.94793	60.00326	50.91988	39.22845	50.91988	36.932	39.54648	39.22541	38.10963	43.05088
1780	45.60612	59.66578	50.51564	39.09675	50.51564	36.98024	39.20866	38.88315	37.94258	42.85781
1790	45.01375	59.14754	49.87105	38.90399	49.87105	36.80353	38.77761	38.44865	37.72649	42.62966
1800	44.24133	58.40559	49.00134	38.55765	49.00134	36.58571	38.24708	37.96346	37.47894	42.35794
1810	43.28179	57.48573	47.96712	38.2383	47.96712	36.33757	37.69905	37.47175	37.22583	42.12461
1820	42.13122	56.38295	46.7238	37.87601	46.7238	36.07888	37.15173	36.89528	36.9778	41.89338
1830	40.86285	55.20379	45.41688	37.48315	45.41688	35.78622	36.62408	36.31798	36.71484	41.70468
1840	39.54426	53.92983	44.04503	37.07455	44.04503	35.52146	36.07223	35.77168	36.50434	41.48928
1850	38.1698	52.6591	42.63747	36.65546	42.63747	35.22998	35.57033	35.20747	36.33813	41.31428
1860	36.86477	51.36141	41.28935	36.27796	41.28935	34.93508	35.08186	34.66282	36.18332	41.12491
1870	35.5906	50.15499	40.00011	35.93219	40.00011	34.65181	34.63269	34.16494	36.02462	41.00034
1880	34.43277	49.08759	38.86277	35.66521	38.86277	34.43772	34.24189	33.70754	35.91783	40.87016
1890	33.42327	48.23755	37.977	35.43813	37.977	34.26713	33.94878	33.42678	35.81913	40.788
1900	32.65514	47.63311	37.29482	35.33202	37.29482	34.17858	33.76988	33.17453	35.74369	40.7246
1910	32.22775	47.37557	36.94565	35.39224	36.94565	34.14899	33.76891	33.11369	35.68912	40.72977
1920	32.07643	47.39363	36.87542	35.54086	36.87542	34.25372	33.82793	33.11368	35.74368	40.81861
1930	32.2031	47.73601	37.15209	35.87176	37.15209	34.42445	33.99459	33.26094	35.81771	41.00069
1940	32.60821	48.30254	37.68991	36.27153	37.68991	34.73825	34.23637	33.5207	35.93727	41.21379
