		Putz	90degreen	Gruenwand	Efeu	Optigruen														
30.10.2011	13:10:00	2.027978483	2.263298677	2.082468204	1.546145142	2.287524901														
30.10.2011	13:20:00	2.024222968	2.298118657	2.103717879	1.556014153	2.456366025														
30.10.2011	13:30:00	2.02250169	2.294128867	2.093978444	1.545459794	2.496306936														
30.10.2011	13:40:00	2.020630735	2.28979214	2.083392102	1.533987664	2.669963071														
30.10.2011	13:50:00	2.017497974	2.282530643	2.065666135	1.556855697	2.786575184														
30.10.2011	14:00:00	2.012571239	2.271110852	2.097724381	1.530962047	3.072377767														
30.10.2011	14:10:00	2.004782651	2.253057507	2.062468509	1.543242491	3.436093077														
30.10.2011	14:20:00	2.06553364	2.311326235	2.095657657	1.559757572	4.131818377														
30.10.2011	14:30:00	2.06553364	2.305211616	2.077746053	1.541271556	4.326932022														
30.10.2011	14:40:00	2.06553364	2.301801539	2.157659363	1.600551231	4.608566651														
30.10.2011	14:50:00	2.06553364	2.294128867	2.142675618	1.583153935	5.117429219														
30.10.2011	15:00:00	2.06553364	2.27987962	2.114848662	1.550844671	5.848490536														
31.10.2011	13:00:00	1.622919289	2.051891658	1.598062334	1.403145179	0														
31.10.2011	13:10:00	1.25233142	1.847241046	1.233150463	1.068495344	0														
31.10.2011	13:20:00	0.906539764	1.768806605	0.87005616	0.79408991	0														
31.10.2011	13:30:00	0.755048011	1.901017271	0.648204389	0.729809257	0														
31.10.2011	13:40:00	0.730239166	2.023105299	0.527306764	0.767589787	0														
31.10.2011	13:50:00	0.871008162	2.091034169	0.499879416	0.381482876	0														
31.10.2011	14:00:00	1.137540266	2.137139331	0.575897004	0.314664136	0														
31.10.2011	14:10:00	1.31551278	2.166214152	0.747719131	0.328493036	0														
31.10.2011	14:20:00	1.572271876	2.186642752	1.025693294	1.263822672	0														
31.10.2011	14:30:00	3.898112359	5.057732946	3.022886175	3.822696075	0														
31.10.2011	14:40:00	2.633555392	3.650657241	9.34985724	10.403583	0														
31.10.2011	14:50:00	2.134384762	2.314077814	7.869463177	10.13218518	0														
31.10.2011	15:00:00	1.97572783	2.28979214	2.540722076	5.270624281	0														
01.11.2011	13:00:00	2.06553364	2.305211616	2.164318806	1.608283363	7.43344732														
01.11.2011	13:10:00	2.06553364	2.311326235	2.176259875	1.622147874	7.230682159														
01.11.2011	13:20:00	2.06553364	2.321331977	2.124967555	1.590007415	6.354235837														
01.11.2011	13:30:00	2.06553364	2.319065051	2.118327031	1.583153935	6.646417217														
01.11.2011	13:40:00	2.011177492	2.330876927	2.029903217	1.52363687	5.75464441														
01.11.2011	13:50:00	2.002941712	2.321331977	2.054135303	1.535179573	6.445010635														
