datetime               Putz         90degreen GrünwanEfeu   Optigruen                                        
24.10.2011 13:00:00      1.445873548       ###    ###    ###         0                                       
24.10.2011	13:10:00      1.420054378       ###    ###    ###         0                                       
24.10.2011	13:20:00      1.304547562       ###    ###    ###         0                                       
24.10.2011	13:30:00      1.215019789       ###    ###    ###         0                                       
24.10.2011 13:40:00      1.377022427       ###    ###    ###         0                                       
24.10.2011	13:50:00      1.239320184       ###    ###    ###         0                                       
24.10.2011	14:00:00      0.826213456       ###    ###    ###         0                                       
24.10.2011	14:10:00      0.885228703       ###    ###    ###         0                                       
24.10.2011	14:20:00       1.03276682       ###    ###    ###         0                                       
24.10.2011	14:30:00      0.826213456       ###    ###    ###         0                                       
24.10.2011	14:40:00      1.377022427       ###    ###    ###         0                                       
24.10.2011	14:50:00       2.06553364       ###    ###    ###         0                                       
24.10.2011	15:00:00       2.06553364       ###    ###    ###         0                                       
25.10.2011	13:00:00      1.239320184       ###    ###    ###         0                                       
25.10.2011	13:10:00      1.180304937       ###    ###    ###         0                                       
25.10.2011	13:20:00       1.03276682       ###    ###    ###         0                                       
25.10.2011	13:30:00       1.03276682       ###    ###    ###         0                                       
25.10.2011	13:40:00       1.54915023       ###    ###    ###         0                                       
25.10.2011	13:50:00       1.03276682       ###    ###    ###         0                                       
25.10.2011	14:00:00      1.239320184       ###    ###    ###         0                                       
25.10.2011	14:10:00      1.239320184       ###    ###    ###         0                                       
25.10.2011	14:20:00       1.03276682       ###    ###    ###         0                                       
25.10.2011	14:30:00      1.239320184       ###    ###    ###         0                                       
25.10.2011	14:40:00       1.03276682       ###    ###    ###         0                                       
25.10.2011	14:50:00       1.03276682       ###    ###    ###         0                                       
25.10.2011	15:00:00       1.54915023       ###    ###    ###         0                                       
26.10.2011	13:00:00      1.377022427       ###    ###    ###         0                                       
26.10.2011	13:10:00      1.429984828       ###    ###    ###         0                                       
26.10.2011	13:20:00      1.458023746       ###    ###    ###         0                                       
26.10.2011	13:30:00      1.262270558       ###    ###    ###         0                                       
26.10.2011	13:40:00      1.215019789       ###    ###    ###         0                                       
26.10.2011	13:50:00      1.290958525       ###    ###    ###         0                                       
26.10.2011	14:00:00      1.327843055       ###    ###    ###         0                                       
26.10.2011	14:10:00      1.377022427       ###    ###    ###         0                                       
26.10.2011	14:20:00      1.314430498       ###    ###    ###         0                                       
26.10.2011	14:30:00      1.377022427       ###    ###    ###         0                                       
26.10.2011	14:40:00      1.290958525       ###    ###    ###         0                                       
26.10.2011	14:50:00      1.290958525       ###    ###    ###         0                                       
26.10.2011	15:00:00      1.180304937       ###    ###    ###         0                                       
28.10.2011	13:00:00      4.819578494       ###    ###    ###       ###                                       
28.10.2011	13:10:00      4.819578494       ###    ###    ###       ###                                       
28.10.2011	13:20:00      9.294901382       ###    ###    ###       ###                                       
28.10.2011	13:30:00      13.42596866       ###    ###    ###       ###                                       
28.10.2011	13:40:00       2.06553364       ###    ###    ###       ###                                       
28.10.2011	13:50:00       2.06553364       ###    ###    ###       ###                                       
