Heat Source Hourly Output File:  Solar Flux blocked by vegetation (daily average w/sq m)     File created on Mon Apr 29 18:31:44 2013

Datetime      rKM           Veg_1_NE      Veg_2_NE      Veg_3_NE      Veg_4_NE      Veg_1_E       Veg_2_E       Veg_3_E       Veg_4_E       Veg_1_SE      Veg_2_SE      Veg_3_SE      Veg_4_SE      Veg_1_S       Veg_2_S       Veg_3_S       Veg_4_S       Veg_1_SW      Veg_2_SW      Veg_3_SW      Veg_4_SW      Veg_1_W       Veg_2_W       Veg_3_W       Veg_4_W       Veg_1_NW      Veg_2_NW      Veg_3_NW      Veg_4_NW      diffuse_blocked
37079.958333  0.650         0.0430        0.0866        0.1745        0.3515        2.1321        5.0328        11.9964       28.8812       1.5114        5.9419        23.8863       23.0738       1.3265        6.7840        34.7177       0.0000        1.5007        5.9260        23.9298       23.1710       2.1407        5.0596        12.0778       29.1246       0.0451        0.0908        0.1830        0.3687        69.6479       
37079.958333  0.400         0.0430        0.0866        0.1744        0.3513        2.1315        5.0315        11.9933       28.8740       0.8269        2.9480        10.7464       40.0857       0.2595        1.3263        6.7828        34.7115       0.8197        2.9340        10.7392       40.2261       2.1401        5.0583        12.0748       29.1174       0.0454        0.0914        0.1842        0.3711        70.4354       
37079.958333  0.150         0.0004        0.0007        0.0014        0.0029        0.0493        0.1177        0.2841        0.6920        0.0230        0.0823        0.3007        1.1245        0.0074        0.0381        0.1947        0.9963        0.0228        0.0819        0.3007        1.1289        0.0495        0.1185        0.2864        0.6989        0.0004        0.0008        0.0015        0.0031        35.7117       
37079.958333  0.000         0.0004        0.0007        0.0014        0.0029        0.0493        0.1178        0.2842        0.6922        0.0230        0.0823        0.3008        1.1248        0.0074        0.0381        0.1947        0.9966        0.0228        0.0820        0.3007        1.1292        0.0495        0.1186        0.2865        0.6991        0.0004        0.0008        0.0015        0.0031        35.6399       
37080.958333  0.650         0.0414        0.0833        0.1678        0.3380        2.1320        5.0285        11.9752       28.8004       1.5253        5.9695        23.8801       23.0442       1.3427        6.8223        34.6868       0.0000        1.5432        6.0278        24.1172       23.6966       2.0991        4.9282        11.6756       27.9176       0.0346        0.0696        0.1402        0.2822        69.5889       
37080.958333  0.400         0.0418        0.0842        0.1695        0.3415        2.1314        5.0272        11.9721       28.7932       0.8352        2.9675        10.7771       40.0361       0.2644        1.3424        6.8210        34.6806       0.8597        3.0361        10.9810       40.7011       2.0985        4.9269        11.6726       27.9105       0.0349        0.0702        0.1413        0.2845        70.4338       
37080.958333  0.150         0.0003        0.0007        0.0014        0.0027        0.0494        0.1179        0.2842        0.6915        0.0233        0.0830        0.3022        1.1254        0.0076        0.0386        0.1962        0.9975        0.0245        0.0868        0.3142        1.1659        0.0484        0.1149        0.2756        0.6667        0.0003        0.0005        0.0011        0.0022        35.6448       
37080.958333  0.000         0.0003        0.0007        0.0014        0.0028        0.0494        0.1179        0.2843        0.6917        0.0233        0.0830        0.3023        1.1257        0.0076        0.0386        0.1962        0.9978        0.0245        0.0868        0.3143        1.1662        0.0484        0.1150        0.2757        0.6669        0.0003        0.0005        0.0011        0.0022        35.5786       
