Land Cover Name,Code,Height (m),Density (0-1),Overhang (m)
garden_leisure_h5-10_d1_OH0,205,8,0.01,0
garden_leisure_h5-10_d2_OH0,206,8,0.02,0
garden_leisure_h5-10_d2_OH0-0.5,207,8,0.02,0.5
garden_leisure_h5-10_d2_OH1-2.5,208,8,0.02,1.8
garden_leisure_h5-10_d3_OH0,209,8,0.03,0
garden_leisure_h5-10_d4_OH0,210,8,0.04,0
garden_leisure_h5-10_d4_OH0-0.5,211,8,0.04,0.5
garden_leisure_h5-10_d5_OH0,212,8,0.05,0
riparian vegetation_h>2_d5_OH0,213,2.5,0.9,0
riparian vegetation_h0-1_d5_OH0,214,0.5,0.9,0
riparian vegetation_h0-5_d1_OH0,215,4,0.03,0
riparian vegetation_h0-5_d1_OH0-0.5,216,4,0.03,0.5
riparian vegetation_h0-5_d1_OH1-2.5,217,4,0.03,1.8
riparian vegetation_h0-5_d2_OH0,218,4,0.2,0
riparian vegetation_h0-5_d2_OH0-0.5,219,4,0.2,0.5
riparian vegetation_h0-5_d2_OH1-2.5,220,4,0.2,1.8
riparian vegetation_h0-5_d3_OH0,221,4,0.5,0
riparian vegetation_h0-5_d3_OH0-0.5,222,4,0.5,0.5
riparian vegetation_h0-5_d3_OH1-2.5,223,4,0.5,1.8
riparian vegetation_h0-5_d4_OH0,224,4,0.7,0
riparian vegetation_h0-5_d4_OH0-0.5,225,4,0.7,0.5
riparian vegetation_h0-5_d4_OH1-2.5,226,4,0.7,1.8
riparian vegetation_h0-5_d5_OH0,227,4,0.9,0
riparian vegetation_h0-5_d5_OH0-0.5,228,4,0.9,0.5
riparian vegetation_h0-5_d5_OH1-2.5,229,4,0.9,1.8
riparian vegetation_h10-20_d1_OH0,230,15,0.03,0
riparian vegetation_h10-20_d2_OH0,231,15,0.2,0
riparian vegetation_h10-20_d2_OH0-0.5,232,15,0.2,0.5
riparian vegetation_h10-20_d2_OH1-2.5,233,15,0.2,1.8
riparian vegetation_h10-20_d3_OH0,234,15,0.5,0
riparian vegetation_h10-20_d3_OH0-0.5,235,15,0.5,0.5
riparian vegetation_h10-20_d3_OH1-2.5,236,15,0.5,1.8
riparian vegetation_h10-20_d3_OH3-5,237,15,0.5,4
riparian vegetation_h10-20_d3_OH6-8,238,15,0.5,7
riparian vegetation_h10-20_d4_OH0,239,15,0.7,0
riparian vegetation_h10-20_d4_OH0-0.5,240,15,0.7,0.5
riparian vegetation_h10-20_d4_OH1-2.5,241,15,0.7,1.8
riparian vegetation_h10-20_d4_OH3-5,242,15,0.7,4
riparian vegetation_h10-20_d4_OH6-8,243,15,0.7,7
riparian vegetation_h10-20_d5_OH0,244,15,0.9,0
riparian vegetation_h10-20_d5_OH0-0.5,245,15,0.9,0.5
riparian vegetation_h10-20_d5_OH1-2.5,246,15,0.9,1.8
riparian vegetation_h10-20_d5_OH3-5,247,15,0.9,4
riparian vegetation_h10-20_d5_OH6-8,248,15,0.9,7
riparian vegetation_h1-2_d5_OH0,249,1.5,0.9,0
riparian vegetation_h20-30_d1_OH0,250,25,0.03,0
riparian vegetation_h20-30_d2_OH0,251,25,0.2,0
riparian vegetation_h20-30_d2_OH1-2.5,252,25,0.2,1.8
riparian vegetation_h20-30_d3_OH0,253,25,0.5,0
riparian vegetation_h20-30_d3_OH0-0.5,254,25,0.5,0.5
riparian vegetation_h20-30_d3_OH1-2.5,255,25,0.5,1.8
riparian vegetation_h20-30_d3_OH3-5,256,25,0.5,4
riparian vegetation_h20-30_d4_OH0,257,25,0.7,0
riparian vegetation_h20-30_d4_OH0-0.5,258,25,0.7,0.5
riparian vegetation_h20-30_d4_OH1-2.5,259,25,0.7,1.8
riparian vegetation_h20-30_d4_OH3-5,260,25,0.7,4
riparian vegetation_h20-30_d4_OH6-8,261,25,0.7,7
riparian vegetation_h20-30_d5_OH0,262,25,0.9,0
riparian vegetation_h20-30_d5_OH0-0.5,263,25,0.9,0.5
riparian vegetation_h20-30_d5_OH1-2.5,264,25,0.9,1.8
riparian vegetation_h20-30_d5_OH3-5,265,25,0.9,4
riparian vegetation_h20-30_d5_OH6-8,266,25,0.9,7
riparian vegetation_h5-10_d1_OH0,267,8,0.03,0
riparian vegetation_h5-10_d1_OH0-0.5,268,8,0.03,0.5
riparian vegetation_h5-10_d1_OH1-2.5,269,8,0.03,1.8
riparian vegetation_h5-10_d2_OH0,270,8,0.2,0
riparian vegetation_h5-10_d2_OH0-0.5,271,8,0.2,0.5
riparian vegetation_h5-10_d2_OH1-2.5,272,8,0.2,1.8
riparian vegetation_h5-10_d3_OH0,273,8,0.5,0
riparian vegetation_h5-10_d3_OH0-0.5,274,8,0.5,0.5
riparian vegetation_h5-10_d3_OH1-2.5,275,8,0.5,1.8
riparian vegetation_h5-10_d3_OH3-5,276,8,0.5,4
riparian vegetation_h5-10_d3_OH6-8,277,8,0.5,7
riparian vegetation_h5-10_d4_OH0,278,8,0.7,0
riparian vegetation_h5-10_d4_OH0-0.5,279,8,0.7,0.5
riparian vegetation_h5-10_d4_OH1-2.5,280,8,0.7,1.8
riparian vegetation_h5-10_d4_OH3-5,281,8,0.7,4
riparian vegetation_h5-10_d5_OH0,282,8,0.9,0
riparian vegetation_h5-10_d5_OH1-2.5,283,8,0.9,1.8
riparian vegetation_h5-10_d5_OH3-5,284,8,0.9,4
riparian vegetation_h5-10_d5_OH6-8,285,8,0.9,7
