Heat Source Hourly Output File:  Solar Flux blocked by vegetation (daily average w/sq m)     File created on Thu Apr 11 17:20:10 2013

Datetime      rKM           Veg_1_NE      Veg_2_NE      Veg_3_NE      Veg_4_NE      Veg_1_E       Veg_2_E       Veg_3_E       Veg_4_E       Veg_1_SE      Veg_2_SE      Veg_3_SE      Veg_4_SE      Veg_1_S       Veg_2_S       Veg_3_S       Veg_4_S       Veg_1_SW      Veg_2_SW      Veg_3_SW      Veg_4_SW      Veg_1_W       Veg_2_W       Veg_3_W       Veg_4_W       Veg_1_NW      Veg_2_NW      Veg_3_NW      Veg_4_NW      diffuse_blocked
37079.958333  0.650         0.0430        0.0866        0.1745        0.3515        1.5295        3.6707        8.9158        21.9106       1.5114        5.9419        23.8865       23.0739       1.3265        6.7841        34.7179       0.0000        1.5007        5.9260        23.9299       23.1711       2.1407        5.0596        12.0779       29.1248       0.0451        0.0908        0.1830        0.3687        65.0687       
37079.958333  0.400         0.0430        0.0866        0.1744        0.3513        1.5291        3.6697        8.9136        21.9052       0.8269        2.9480        10.7465       40.0860       0.2595        1.3263        6.7828        34.7117       0.8197        2.9340        10.7392       40.2264       2.1402        5.0583        12.0748       29.1175       0.0454        0.0914        0.1842        0.3711        65.8098       
37079.958333  0.150         0.0432        0.0870        0.1752        0.3530        1.5291        3.6697        8.9136        21.9052       0.8269        2.9480        10.7465       40.0860       0.2595        1.3263        6.7828        34.7117       0.8197        2.9340        10.7392       40.2264       2.1402        5.0583        12.0748       29.1175       0.0453        0.0913        0.1839        0.3705        65.7498       
37079.958333  0.000         0.0432        0.0870        0.1753        0.3532        1.5293        3.6703        8.9151        21.9088       0.8270        2.9484        10.7478       40.0910       0.2595        1.3264        6.7836        34.7159       0.8198        2.9343        10.7406       40.2314       2.1405        5.0592        12.0769       29.1223       0.0453        0.0913        0.1840        0.3707        65.5992       
37080.958333  0.650         0.0414        0.0833        0.1678        0.3380        1.5294        3.6677        8.9003        21.8488       1.5253        5.9696        23.8803       23.0444       1.3427        6.8223        34.6871       0.0000        1.5654        6.1044        24.3842       24.4545       2.0992        4.9285        11.6767       27.9206       0.0346        0.0696        0.1402        0.2822        64.6071       
37080.958333  0.400         0.0418        0.0842        0.1695        0.3415        1.5290        3.6668        8.8981        21.8434       0.8352        2.9675        10.7772       40.0365       0.2644        1.3425        6.8211        34.6809       0.8799        3.1046        11.2146       41.5030       2.0987        4.9273        11.6737       27.9136       0.0349        0.0702        0.1413        0.2845        65.4018       
37080.958333  0.150         0.0418        0.0842        0.1695        0.3415        1.5290        3.6668        8.8981        21.8434       0.8352        2.9675        10.7772       40.0365       0.2644        1.3425        6.8211        34.6809       0.8799        3.1046        11.2146       41.5030       2.0987        4.9273        11.6737       27.9136       0.0348        0.0701        0.1411        0.2839        65.2982       
37080.958333  0.000         0.0420        0.0846        0.1703        0.3431        1.5293        3.6674        8.8996        21.8470       0.8353        2.9679        10.7786       40.0415       0.2644        1.3426        6.8219        34.6851       0.8800        3.1050        11.2160       41.5082       2.0990        4.9281        11.6757       27.9182       0.0348        0.0701        0.1411        0.2840        65.1913       
