	MV1_02_Oberseite DIFF	MV2_01_Oberseite DIFF	MV2_02_Oberseite DIFF	MV3_01_Oberseite DIFF	MV3_03_Oberseite DIFF	MV4_01_Oberseite DIFF	MV4_03_Oberseite DIFF
2005	38.1	45.3	40.5	48.4	29.6	49.6	31.6
2000	38.0	45.1	40.4	48.2	29.5	49.3	31.5
1995	38.0	45.0	40.2	48.0	29.3	49.0	31.3
1990	37.9	44.8	40.1	47.8	29.3	48.8	31.2
1985	37.8	44.7	40.0	47.6	29.2	48.5	31.1
1980	37.7	44.6	39.8	47.4	29.0	48.3	30.9
1975	37.6	44.4	39.7	47.3	28.9	48.1	30.8
1970	37.5	44.3	39.6	47.1	28.8	48.0	30.7
1965	37.5	44.2	39.5	47.0	28.8	47.9	30.7
1960	37.4	44.2	39.5	46.9	28.7	47.9	30.7
1955	37.4	44.2	39.5	46.9	28.6	48.0	30.8
1950	37.4	44.3	39.6	46.9	28.6	48.2	30.9
1945	37.4	44.4	39.7	47.0	28.6	48.4	31.1
1940	37.4	44.5	39.9	47.1	28.7	48.7	31.3
1935	37.5	44.7	40.1	47.3	28.8	49.1	31.6
1930	37.6	44.9	40.3	47.4	28.9	49.5	31.9
1925	37.7	45.2	40.5	47.6	29.0	49.9	32.2
1920	37.8	45.4	40.7	47.8	29.1	50.4	32.5
1915	37.8	45.6	41.0	48.0	29.2	50.9	32.8
1910	38.0	45.9	41.3	48.2	29.3	51.5	33.2
1905	38.1	46.2	41.6	48.4	29.5	52.0	33.6
1900	38.3	46.6	41.9	48.7	29.6	52.6	34.0
1895	38.4	46.9	42.2	49.0	29.8	53.2	34.4
1890	38.6	47.2	42.5	49.2	29.9	53.7	34.8
1885	38.7	47.5	42.8	49.5	30.0	54.3	35.1
1880	38.8	47.8	43.1	49.7	30.1	54.9	35.5
1875	39.0	48.1	43.4	50.0	30.3	55.4	35.9
1870	39.2	48.4	43.7	50.2	30.5	55.9	36.3
1865	39.4	48.7	44.0	50.4	30.6	56.4	36.6
1860	39.5	49.0	44.3	50.6	30.7	56.9	36.9
1855	39.7	49.3	44.5	50.8	30.8	57.3	37.2
1850	39.8	49.5	44.7	50.9	30.9	57.6	37.4
1845	39.9	49.6	44.9	51.0	31.0	57.9	37.6
1840	39.9	49.7	45.0	51.1	31.0	58.1	37.7
1835	40.0	49.8	45.1	51.1	31.0	58.2	37.8
1830	40.0	49.9	45.2	51.1	31.0	58.3	37.9
1825	40.1	50.0	45.2	51.1	31.0	58.4	38.0
1820	40.1	50.0	45.3	51.0	31.0	58.5	38.0
1815	40.1	50.1	45.4	51.0	31.0	58.6	38.1
1810	40.2	50.1	45.4	51.0	30.9	58.6	38.2
1805	40.2	50.2	45.5	51.0	30.9	58.7	38.2
1800	40.2	50.2	45.5	51.0	30.9	58.7	38.2
1795	40.2	50.3	45.5	50.9	30.8	58.8	38.3
1790	40.2	50.3	45.6	50.9	30.8	58.9	38.3
1785	40.3	50.4	45.7	50.9	30.8	58.9	38.4
1780	40.3	50.5	45.8	50.9	30.8	59.0	38.4
1775	40.4	50.5	45.9	50.9	30.9	59.1	38.5
1770	40.4	50.6	45.9	50.9	30.8	59.2	38.6
1765	40.4	50.7	46.0	50.8	30.8	59.2	38.6
1760	40.5	50.7	46.0	50.8	30.8	59.3	38.7
1755	40.5	50.8	46.1	50.8	30.8	59.4	38.8
1750	40.5	50.8	46.2	50.8	30.8	59.4	38.8
1745	40.5	50.9	46.2	50.7	30.8	59.5	38.9
1740	40.6	51.0	46.3	50.7	30.8	59.6	39.0
1735	40.6	51.0	46.4	50.7	30.8	59.7	39.0
1730	40.6	51.1	46.5	50.7	30.8	59.7	39.1
1725	40.7	51.1	46.5	50.7	30.8	59.8	39.2
1720	40.7	51.2	46.6	50.6	30.7	59.9	39.2
1715	40.7	51.2	46.6	50.6	30.7	59.9	39.3
1710	40.7	51.3	46.7	50.6	30.7	60.0	39.3
1705	40.7	51.3	46.7	50.5	30.6	60.0	39.4
1700	40.7	51.3	46.7	50.5	30.6	60.0	39.4
1695	40.7	51.4	46.7	50.4	30.5	60.0	39.4
1690	40.7	51.4	46.8	50.4	30.5	60.1	39.4
1685	40.7	51.4	46.8	50.3	30.4	60.1	39.5
1680	40.7	51.4	46.8	50.3	30.3	60.1	39.5
1675	40.7	51.4	46.8	50.2	30.3	60.1	39.5
1670	40.6	51.4	46.8	50.2	30.2	60.1	39.5
1665	40.6	51.4	46.9	50.1	30.1	60.1	39.5
1660	40.6	51.5	46.9	50.0	30.1	60.1	39.5
1655	40.6	51.5	46.9	50.0	30.0	60.2	39.5
1650	40.6	51.5	46.9	49.9	29.9	60.2	39.5
1645	40.6	51.5	46.9	49.9	29.9	60.2	39.5
1640	40.6	51.5	46.9	49.8	29.8	60.2	39.5
1635	40.6	51.6	47.0	49.7	29.8	60.2	39.5
1630	40.6	51.6	47.0	49.7	29.7	60.2	39.5
1625	40.6	51.6	47.0	49.6	29.6	60.2	39.5
1620	40.6	51.6	47.0	49.5	29.6	60.1	39.5
1615	40.6	51.6	47.0	49.5	29.5	60.1	39.5
1610	40.5	51.6	47.0	49.4	29.5	60.1	39.4
1605	40.5	51.6	47.1	49.3	29.4	60.1	39.4
1600	40.5	51.6	47.1	49.3	29.4	60.1	39.4
1595	40.5	51.7	47.1	49.2	29.3	60.1	39.4
1590	40.5	51.7	47.1	49.1	29.2	60.1	39.4
1585	40.5	51.7	47.1	49.1	29.2	60.1	39.4
1580	40.5	51.7	47.2	49.0	29.1	60.0	39.4
1575	40.5	51.7	47.2	48.9	29.1	60.0	39.4
1570	40.5	51.7	47.2	48.9	29.0	60.0	39.3
1565	40.5	51.8	47.2	48.8	29.0	59.9	39.3
1560	40.5	51.8	47.2	48.7	28.9	59.9	39.3
1555	40.4	51.8	47.2	48.6	28.8	59.9	39.2
1550	40.4	51.8	47.2	48.6	28.8	59.8	39.2
1545	40.4	51.8	47.2	48.5	28.7	59.8	39.2
1540	40.4	51.8	47.2	48.4	28.7	59.7	39.1
1535	40.4	51.8	47.3	48.3	28.6	59.6	39.1
1530	40.4	51.8	47.3	48.3	28.5	59.6	39.0
1525	40.4	51.8	47.3	48.2	28.5	59.5	39.0
1520	40.3	51.7	47.2	48.1	28.4	59.4	38.9
1515	40.3	51.7	47.2	48.0	28.4	59.4	38.9
1510	40.3	51.7	47.2	47.9	28.3	59.3	38.8
1505	40.3	51.7	47.2	47.9	28.2	59.2	38.8
1500	40.3	51.7	47.3	47.8	28.2	59.2	38.7
1495	40.3	51.8	47.2	47.7	28.1	59.1	38.7
1490	40.3	51.7	47.3	47.6	28.1	59.0	38.6
1485	40.2	51.8	47.3	47.6	28.0	58.9	38.6
1480	40.2	51.8	47.3	47.5	27.9	58.9	38.5
1475	40.2	51.8	47.3	47.4	27.9	58.8	38.5
1470	40.2	51.8	47.3	47.4	27.8	58.8	38.5
1465	40.2	51.8	47.4	47.3	27.8	58.8	38.5
1460	40.3	51.9	47.4	47.3	27.8	58.8	38.5
1455	40.3	52.0	47.5	47.3	27.8	58.8	38.5
1450	40.3	52.0	47.6	47.3	27.7	58.8	38.5
1445	40.4	52.1	47.7	47.2	27.7	58.9	38.5
1440	40.4	52.2	47.7	47.2	27.7	59.0	38.6
1435	40.4	52.3	47.8	47.2	27.7	59.1	38.7
1430	40.5	52.4	48.0	47.2	27.7	59.2	38.7
1425	40.5	52.5	48.1	47.2	27.7	59.3	38.8
1420	40.5	52.6	48.2	47.2	27.7	59.4	38.9
1415	40.6	52.7	48.3	47.2	27.6	59.5	39.0
1410	40.6	52.8	48.4	47.1	27.6	59.7	39.1
1405	40.6	52.9	48.5	47.1	27.5	59.8	39.1
1400	40.6	53.0	48.6	47.1	27.4	59.9	39.2
1395	40.6	53.1	48.6	47.0	27.4	60.0	39.3
1390	40.6	53.2	48.8	47.0	27.3	60.1	39.3
1385	40.6	53.3	48.8	47.0	27.3	60.2	39.4
1380	40.6	53.4	48.9	46.9	27.3	60.4	39.5
1375	40.7	53.5	49.1	46.9	27.3	60.5	39.6
1370	40.7	53.6	49.2	46.9	27.3	60.6	39.7
1365	40.8	53.8	49.4	46.9	27.2	60.8	39.8
1360	40.8	53.9	49.5	46.9	27.2	60.9	39.9
1355	40.8	53.9	49.6	46.9	27.2	61.0	40.0
